Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
6.559,73.8,0.083,34055.6962,16128.87538,20240.96386
6.414,74.5,0.083,29814.68354,19375.07599,20131.08434
6.313,74.5,0.08,29128.10127,19006.68693,19668.43373
6.121,75.0,0.083,28228.86076,18361.09422,18899.27711
5.921,75.7,0.081,27335.6962,17872.34043,18442.40964
5.853,76.9,0.081,26624.81013,17416.41337,18130.12048
5.641,77.7,0.08,25998.98734,16993.31307,17945.06024
5.496,78.2,0.085,25446.07595,16661.39818,17459.27711
5.678,78.1,0.081,24777.72152,16227.35562,17025.54217
5.491,77.3,0.082,24279.49367,15939.20973,16794.21687
5.516,77.5,0.081,23896.70886,15435.86626,16638.07229
5.471,76.7,0.083,23544.3038,15213.37386,16395.18072
5.059,78.6,0.081,23003.5443,15169.60486,16117.59036
4.968,78.8,0.084,22329.11392,14710.0304,15822.6506
4.975,78.9,0.083,22092.1519,14421.8845,15672.28916
4.897,79.1,0.083,21903.79747,14104.55927,15597.10843
5.02,79.7,0.081,21685.06329,13965.95745,15510.36145
5.407,78.5,0.082,21484.55696,13612.15805,15336.86747
5.169,77.9,0.083,21107.8481,13535.56231,15140.24096
5.081,77.7,0.084,20998.48101,13371.42857,15059.27711
5.041,77.2,0.081,20870.88608,13196.35258,15013.01205
5.034,76.9,0.083,20870.88608,13167.17325,14897.3494
4.896,76.6,0.085,20597.46835,13137.99392,14602.40964
4.805,76.2,0.081,20421.26582,12908.20669,14590.84337
4.753,75.7,0.083,20524.55696,12820.66869,14585.06024
4.901,74.4,0.083,20482.02532,13032.21884,14452.04819
5.203,74.1,0.085,20530.63291,12926.44377,14232.28916
5.394,71.9,0.081,20512.40506,12948.32827,14157.10843
5.156,74.0,0.079,20494.17722,12922.79635,14232.28916
5.179,74.2,0.083,20311.89873,12879.02736,14243.85542
4.934,72.9,0.082,20542.78481,12806.07903,14243.85542
4.718,75.8,0.08,20621.77215,12853.49544,14105.06024
5.546,74.0,0.082,20627.8481,12842.55319,14266.98795
4.658,73.5,0.08,20797.97468,13137.99392,14353.73494
4.382,76.9,0.081,20858.73418,13203.64742,14538.79518
4.212,78.3,0.081,21393.41772,13575.68389,14862.6506
4.308,77.2,0.081,22219.74684,14068.08511,14908.91566
4.735,74.3,0.08,21928.10127,13852.88754,14729.63855
4.769,75.6,0.082,21776.20253,13626.74772,14625.54217
4.92,73.7,0.083,21654.68354,13582.97872,14480.96386
4.408,76.7,0.082,21466.32911,13539.20973,14319.03614
4.29,77.0,0.085,20846.58228,12908.20669,14018.31325
4.304,76.0,0.082,19983.79747,12342.85714,13492.04819
4.513,74.6,0.084,18908.35443,11897.87234,12630.36145
4.489,74.3,0.082,18167.08861,11551.36778,11600.96386
4.356,72.3,0.082,18075.94937,11263.22188,10640.96386
4.478,72.2,0.083,18063.79747,10719.75684,10455.90361
4.583,71.0,0.083,18045.56962,10924.01216,10496.38554
4.794,72.0,0.084,18385.82278,10949.54407,10710.36145
4.807,73.1,0.082,18987.34177,11347.11246,10837.59036
4.757,73.5,0.083,19576.70886,11733.7386,10941.68675
4.509,74.5,0.084,19837.97468,11945.28875,11178.79518
4.346,74.8,0.082,20166.07595,12029.17933,11514.21687
4.718,73.7,0.081,20676.4557,12426.74772,11959.51807
4.704,71.8,0.083,21296.20253,12871.73252,12283.37349
4.624,74.1,0.082,22043.5443,13203.64742,12427.95181
4.629,74.8,0.083,22651.13924,13542.85714,12826.98795
4.599,74.0,0.082,23131.13924,14046.20061,13121.92771
4.524,74.7,0.081,23641.51899,14392.70517,13648.19277
4.575,74.5,0.082,24668.35443,14830.39514,13850.60241
5.124,73.7,0.076,25275.94937,15238.90578,14162.89157
5.836,71.3,2.66,25920.0,15837.08207,14428.91566
5.996,69.85,4.93,26393.92405,16059.57447,14671.80723
6.22,68.81,4.924,26861.77215,16322.18845,15036.14458
6.703,68.01,4.923,27511.89873,16774.46809,15267.46988
6.993,66.14,4.918,28149.87342,17164.74164,15244.33735
7.54,64.21,4.916,28714.93671,17507.59878,15591.3253
8.22,61.9,4.916,29043.03797,17478.41945,15816.86747
9.49,59.3,2.451,29261.77215,17792.09726,15932.53012
10.65,56.03,0.084,29474.43038,17748.32827,16053.9759
11.06,53.52,0.082,29523.03797,17963.52584,16256.38554
12.4,53.26,0.08,29711.39241,18142.24924,16354.6988
13.08,54.36,0.077,29644.55696,18131.30699,16562.89157
14.38,54.42,0.076,29802.53165,18102.12766,16522.40964
15.02,56.46,0.074,29887.59494,18156.83891,16649.63855
15.55,58.7,0.075,30039.49367,18335.56231,16869.39759
15.56,59.23,0.076,29966.58228,18204.25532,17094.93976
15.49,59.3,0.076,29996.96203,18196.96049,17418.79518
15.57,58.06,0.077,30258.22785,18466.8693,17413.01205
15.65,58.7,0.077,30404.05063,18350.15198,17436.14458
15.73,59.33,0.076,30094.17722,18331.91489,17332.04819
15.68,58.6,0.079,30161.01266,18419.45289,17465.06024
15.7,55.29,0.074,30318.98734,18310.0304,17164.33735
15.75,52.45,0.077,30154.93671,18390.27356,16979.27711
15.83,54.99,0.079,29984.81013,18353.79939,17054.45783
